Run_Number,Indentor X Position,Indentor Y Position,Stiffener Rib Angle,Stiffener Rib Height,Stiffener Rib Position,Stiffener Rib Width
92,-39.46871523,102.0776949,101.5625,11.328125,353.125,37.890625
93,72.09378477,8.015194855,101.5625,11.328125,353.125,37.890625
94,135.8437848,-260.7348051,101.5625,11.328125,353.125,37.890625
95,231.4687848,34.89019486,101.5625,11.328125,353.125,37.890625
96,103.9687848,142.3901949,101.5625,11.328125,353.125,37.890625
97,-91.26559023,-190.1879301,101.5625,11.328125,353.125,37.890625
98,291.2344098,-82.68793014,101.5625,11.328125,353.125,37.890625
99,327.8408551,-152.6049223,101.5625,11.328125,353.125,37.890625
100,-90.51851992,-135.8080473,101.5625,11.328125,353.125,37.890625
101,-101.2265277,154.1480074,102.8125,17.890625,415.625,40.078125
102,153.7734723,-60.85199264,102.8125,17.890625,415.625,40.078125
103,26.27347227,46.64800736,102.8125,17.890625,415.625,40.078125
104,376.8984723,-248.9769926,102.8125,17.890625,415.625,40.078125
105,313.1484723,19.77300736,102.8125,17.890625,415.625,40.078125
106,360.9609723,-101.1644926,102.8125,17.890625,415.625,40.078125
107,297.2109723,60.08550736,102.8125,17.890625,415.625,40.078125
108,18.30472227,-242.2582426,102.8125,17.890625,415.625,40.078125
109,400.8047223,-134.7582426,102.8125,17.890625,415.625,40.078125
110,337.0547223,133.9917574,102.8125,17.890625,415.625,40.078125
111,2.367222272,-13.82074264,102.8125,17.890625,415.625,40.078125
112,-29.50777773,-94.44574264,102.8125,17.890625,415.625,40.078125
113,225.4922223,120.5542574,102.8125,17.890625,415.625,40.078125
114,293.2265973,-212.0238676,102.8125,17.890625,415.625,40.078125
115,356.9765973,-50.77386764,102.8125,17.890625,415.625,40.078125
116,325.1015973,83.60113236,102.8125,17.890625,415.625,40.078125
117,-41.46090273,-225.4613676,102.8125,17.890625,415.625,40.078125
118,404.7890973,150.7886324,102.8125,17.890625,415.625,40.078125
119,-9.585902728,-144.8363676,102.8125,17.890625,415.625,40.078125
120,245.4140973,70.16363236,102.8125,17.890625,415.625,40.078125
121,117.9140973,-37.33636764,102.8125,17.890625,415.625,40.078125
122,54.16409727,-198.5863676,102.8125,17.890625,415.625,40.078125
123,173.6953473,-3.742617645,102.8125,17.890625,415.625,40.078125
124,237.4453473,-272.4926176,102.8125,17.890625,415.625,40.078125
125,269.3203473,130.6323824,102.8125,17.890625,415.625,40.078125
126,396.8203473,-191.8676176,102.8125,17.890625,415.625,40.078125
127,-1.617152728,144.0698824,102.8125,17.890625,415.625,40.078125
128,94.00784727,63.44488236,102.8125,17.890625,415.625,40.078125
129,-97.24215273,9.694882355,102.8125,17.890625,415.625,40.078125
130,159.7500348,81.92144486,102.8125,17.890625,415.625,40.078125
131,32.25003477,-25.57855514,102.8125,17.890625,415.625,40.078125
132,64.12503477,-106.2035551,102.8125,17.890625,415.625,40.078125
133,191.6250348,-213.7035551,102.8125,17.890625,415.625,40.078125
134,-63.37496523,1.296444855,102.8125,17.890625,415.625,40.078125
135,143.8125348,-146.5160551,102.8125,17.890625,415.625,40.078125
136,398.8125348,68.48394486,102.8125,17.890625,415.625,40.078125
137,-79.31246523,95.35894486,102.8125,17.890625,415.625,40.078125
138,247.4062848,-193.5473051,102.8125,17.890625,415.625,40.078125
139,406.7812848,-274.1723051,102.8125,17.890625,415.625,40.078125
140,88.03128477,-220.4223051,102.8125,17.890625,415.625,40.078125
141,215.5312848,-112.9223051,102.8125,17.890625,415.625,40.078125
142,-39.46871523,102.0776949,102.8125,17.890625,415.625,40.078125
143,72.09378477,8.015194855,102.8125,17.890625,415.625,40.078125
144,135.8437848,-260.7348051,102.8125,17.890625,415.625,40.078125
145,231.4687848,34.89019486,102.8125,17.890625,415.625,40.078125
146,103.9687848,142.3901949,102.8125,17.890625,415.625,40.078125
147,-91.26559023,-190.1879301,102.8125,17.890625,415.625,40.078125
148,291.2344098,-82.68793014,102.8125,17.890625,415.625,40.078125
149,327.8408551,-152.6049223,102.8125,17.890625,415.625,40.078125
150,-90.51851992,-135.8080473,102.8125,17.890625,415.625,40.078125
151,-101.2265277,154.1480074,118.4375,8.984375,409.375,34.609375
152,153.7734723,-60.85199264,118.4375,8.984375,409.375,34.609375
153,26.27347227,46.64800736,118.4375,8.984375,409.375,34.609375
154,376.8984723,-248.9769926,118.4375,8.984375,409.375,34.609375
155,313.1484723,19.77300736,118.4375,8.984375,409.375,34.609375
156,360.9609723,-101.1644926,118.4375,8.984375,409.375,34.609375
157,297.2109723,60.08550736,118.4375,8.984375,409.375,34.609375
158,18.30472227,-242.2582426,118.4375,8.984375,409.375,34.609375
159,400.8047223,-134.7582426,118.4375,8.984375,409.375,34.609375
160,337.0547223,133.9917574,118.4375,8.984375,409.375,34.609375
161,2.367222272,-13.82074264,118.4375,8.984375,409.375,34.609375
162,-29.50777773,-94.44574264,118.4375,8.984375,409.375,34.609375
163,225.4922223,120.5542574,118.4375,8.984375,409.375,34.609375
164,293.2265973,-212.0238676,118.4375,8.984375,409.375,34.609375
165,356.9765973,-50.77386764,118.4375,8.984375,409.375,34.609375
166,325.1015973,83.60113236,118.4375,8.984375,409.375,34.609375
167,-41.46090273,-225.4613676,118.4375,8.984375,409.375,34.609375
168,404.7890973,150.7886324,118.4375,8.984375,409.375,34.609375
169,-9.585902728,-144.8363676,118.4375,8.984375,409.375,34.609375
170,245.4140973,70.16363236,118.4375,8.984375,409.375,34.609375
171,117.9140973,-37.33636764,118.4375,8.984375,409.375,34.609375
172,54.16409727,-198.5863676,118.4375,8.984375,409.375,34.609375
173,173.6953473,-3.742617645,118.4375,8.984375,409.375,34.609375
174,237.4453473,-272.4926176,118.4375,8.984375,409.375,34.609375
175,269.3203473,130.6323824,118.4375,8.984375,409.375,34.609375
176,396.8203473,-191.8676176,118.4375,8.984375,409.375,34.609375
177,-1.617152728,144.0698824,118.4375,8.984375,409.375,34.609375
178,94.00784727,63.44488236,118.4375,8.984375,409.375,34.609375
179,-97.24215273,9.694882355,118.4375,8.984375,409.375,34.609375
180,159.7500348,81.92144486,118.4375,8.984375,409.375,34.609375
181,32.25003477,-25.57855514,118.4375,8.984375,409.375,34.609375
182,64.12503477,-106.2035551,118.4375,8.984375,409.375,34.609375
183,191.6250348,-213.7035551,118.4375,8.984375,409.375,34.609375
184,-63.37496523,1.296444855,118.4375,8.984375,409.375,34.609375
185,143.8125348,-146.5160551,118.4375,8.984375,409.375,34.609375
186,398.8125348,68.48394486,118.4375,8.984375,409.375,34.609375
187,-79.31246523,95.35894486,118.4375,8.984375,409.375,34.609375
188,247.4062848,-193.5473051,118.4375,8.984375,409.375,34.609375
189,406.7812848,-274.1723051,118.4375,8.984375,409.375,34.609375
190,88.03128477,-220.4223051,118.4375,8.984375,409.375,34.609375
191,215.5312848,-112.9223051,118.4375,8.984375,409.375,34.609375
192,-39.46871523,102.0776949,118.4375,8.984375,409.375,34.609375
193,72.09378477,8.015194855,118.4375,8.984375,409.375,34.609375
194,135.8437848,-260.7348051,118.4375,8.984375,409.375,34.609375
195,231.4687848,34.89019486,118.4375,8.984375,409.375,34.609375
196,103.9687848,142.3901949,118.4375,8.984375,409.375,34.609375
197,-91.26559023,-190.1879301,118.4375,8.984375,409.375,34.609375
198,291.2344098,-82.68793014,118.4375,8.984375,409.375,34.609375
199,327.8408551,-152.6049223,118.4375,8.984375,409.375,34.609375
200,-90.51851992,-135.8080473,118.4375,8.984375,409.375,34.609375
201,-101.2265277,154.1480074,112.1875,15.546875,421.875,23.671875
202,153.7734723,-60.85199264,112.1875,15.546875,421.875,23.671875
203,26.27347227,46.64800736,112.1875,15.546875,421.875,23.671875
204,376.8984723,-248.9769926,112.1875,15.546875,421.875,23.671875
205,313.1484723,19.77300736,112.1875,15.546875,421.875,23.671875
206,360.9609723,-101.1644926,112.1875,15.546875,421.875,23.671875
207,297.2109723,60.08550736,112.1875,15.546875,421.875,23.671875
208,18.30472227,-242.2582426,112.1875,15.546875,421.875,23.671875
209,400.8047223,-134.7582426,112.1875,15.546875,421.875,23.671875
210,337.0547223,133.9917574,112.1875,15.546875,421.875,23.671875
211,2.367222272,-13.82074264,112.1875,15.546875,421.875,23.671875
212,-29.50777773,-94.44574264,112.1875,15.546875,421.875,23.671875
213,225.4922223,120.5542574,112.1875,15.546875,421.875,23.671875
214,293.2265973,-212.0238676,112.1875,15.546875,421.875,23.671875
215,356.9765973,-50.77386764,112.1875,15.546875,421.875,23.671875
216,325.1015973,83.60113236,112.1875,15.546875,421.875,23.671875
217,-41.46090273,-225.4613676,112.1875,15.546875,421.875,23.671875
218,404.7890973,150.7886324,112.1875,15.546875,421.875,23.671875
219,-9.585902728,-144.8363676,112.1875,15.546875,421.875,23.671875
220,245.4140973,70.16363236,112.1875,15.546875,421.875,23.671875
221,117.9140973,-37.33636764,112.1875,15.546875,421.875,23.671875
222,54.16409727,-198.5863676,112.1875,15.546875,421.875,23.671875
