Job ID,HIC Value
1,1425.263717
2,877.0833092
3,1483.744726
4,950.597234
5,929.99325
6,929.5139438
7,918.9615064
8,1262.76995
9,874.0244339
10,861.2087754
11,1385.089604
12,1285.078723
13,975.8834025
14,890.1790577
15,956.4058007
16,885.1156558
17,1504.431156
18,1010.894559
19,1329.99759
20,935.2636157
21,999.3412641
22,1033.599194
23,888.609819
24,873.3325009
25,920.3892532
26,934.9041648
27,1422.056649
28,1016.86402
29,1725.787962
30,1002.262103
31,1368.767451
32,1007.503414
33,808.1230216
34,1428.7447
35,908.0837237
36,978.676389
37,1474.104164
38,871.3047931
39,965.3237505
40,902.2454668
41,921.6037697
42,1481.393657
43,982.7889295
44,750.3081431
45,922.5766709
46,970.5068041
47,1494.810705
48,957.2996897
49,983.2045714
50,1686.376617
51,1368.333659
52,853.432715
53,1518.938086
54,940.0373965
55,917.9035175
56,888.8595916
57,893.1561548
58,1256.109419
59,834.7353178
60,823.6138855
61,1295.504469
62,1252.159743
63,913.0517661
64,880.2988122
65,870.6282006
66,836.1381055
67,1468.25449
68,1047.837715
69,1272.304553
70,881.8159083
71,868.5594897
72,1021.883339
73,838.4802484
74,875.9253902
75,870.3687953
76,896.8990499
77,1359.267497
78,985.6423235
79,1368.692193
80,954.6981542
81,1282.348062
82,919.1678246
83,798.3958606
84,1367.348617
85,852.5618045
86,917.1171681
87,1403.059875
88,847.1643088
89,941.247599
90,871.443782
91,884.5965908
92,1435.752522
93,944.9305265
94,771.5968779
95,833.1979198
96,927.5826133
97,1492.648896
98,909.9356138
99,945.9685865
100,1661.300561
101,1550.268022
102,878.7822469
103,1575.433676
104,985.9231374
105,993.1210159
106,963.6493823
107,968.2842483
108,1516.224707
109,913.7420671
110,951.5709808
111,1509.579705
112,1367.325869
113,1032.07478
114,1084.086727
115,939.7645764
116,925.6011156
117,1489.695088
118,1111.259438
119,1279.443726
120,996.5402158
121,1041.032528
122,1077.933105
123,1023.22481
124,946.1909118
125,984.5034794
126,961.7157862
127,1523.421834
128,1128.690403
129,1480.048097
130,1096.554126
131,1527.68573
132,1283.448799
133,889.9486699
134,1417.515917
135,899.4837278
136,1040.137245
137,1550.153799
138,942.0914797
139,984.5850543
140,796.989004
141,994.3961487
142,1526.865102
143,1063.820644
144,808.1078609
145,1025.251564
146,1216.268381
147,1475.337625
148,1046.685954
149,1019.95473
150,1763.557641
151,1324.70652
152,684.6226196
153,1291.857104
154,911.7380298
155,885.7805286
156,836.4644947
157,835.4727733
158,1058.867911
159,824.0657203
160,777.5655726
161,1241.768994
162,1073.404646
163,838.3319937
164,828.1656543
165,856.6760908
166,764.6853991
167,1401.150605
168,991.5994565
169,1228.602507
170,834.2154563
171,825.6824895
172,964.900469
173,758.0115725
174,809.6084375
175,809.935876
176,865.4989521
177,1355.433146
178,884.0480827
179,1363.318646
180,818.2496696
181,1234.425975
182,885.9517226
183,737.1460587
184,1305.405779
185,829.5839516
186,926.5180475
187,1332.873914
188,772.3350321
189,916.8795053
190,728.6714375
191,807.7320005
192,1408.589114
193,845.1903634
194,702.0679524
195,842.2862484
196,881.2420853
197,1428.60579
198,847.7912275
199,915.0252921
200,1627.113466
201,1435.90792
202,855.085848
203,1480.518761
204,975.6015883
205,978.391748
206,942.6499918
207,935.7728243
208,1251.728748
209,838.0617754
210,823.7802501
211,1358.273107
212,1255.907576
213,931.5302333
214,908.8783964
215,940.2015173
216,851.9967529
217,1486.015325
218,1012.380331
219,1318.511
220,933.7911982
221,940.3572235
222,1025.010001
223,867.5339347
224,897.8828703
225,896.0688399
226,949.0870179
227,1412.926154
228,1034.340365
229,1379.893007
230,983.9690059
231,1354.635348
232,1026.992736
233,835.8778479
234,1375.946856
235,892.177887
236,993.7743994
237,1468.418202
238,877.7055953
239,968.8393911
240,903.1868219
241,906.3117396
242,1475.538586
243,981.3432671
244,763.8790667
245,963.1004975
246,975.2084796
247,1503.695393
248,984.5073303
249,957.2673286
250,1669.901231
251,1278.015477
252,716.0831948
253,1126.696342
254,903.554911
255,832.9997589
256,836.5432945
257,776.1605596
258,974.4110778
259,821.5923003
260,735.8408937
261,1190.467641
262,990.8485036
263,774.5824351
264,792.3892443
265,842.9773508
266,719.0738044
267,1128.382473
268,934.4852917
269,1142.380368
270,778.8161308
271,706.5357029
272,937.597599
273,744.4400631
274,794.9601264
275,751.1519638
276,874.7269833
277,1227.037781
278,822.4828427
279,1291.409812
280,779.0023296
281,1144.240245
282,793.270437
283,744.606747
284,1229.221609
285,814.5935855
286,904.5502763
287,1243.594757
288,756.1204663
289,903.8125495
290,721.570262
291,773.4393261
292,1275.632224
293,794.4362091
294,693.2248734
295,801.3397474
296,792.6151325
297,1261.314013
298,837.0022468
299,884.7206326
300,1409.955147
301,1400.385023
302,755.7993386
303,1254.428733
304,890.7285809
305,837.4199907
306,849.1287547
307,796.6516119
308,1390.636121
309,844.5889175
310,754.9619808
311,880.8328009
312,1310.890849
313,789.3739213
314,821.654112
315,889.8770594
316,727.7919293
317,1159.183796
318,932.0754957
319,1386.722593
320,788.9621121
321,851.7888484
322,874.9369012
323,781.9869306
324,889.1407338
325,762.3860083
326,895.1291167
327,1037.50951
328,811.6300225
329,1600.909153
330,824.1377925
331,855.0966622
332,774.8688902
333,791.2015528
334,1437.257593
335,853.3542761
336,911.2317683
337,1708.46073
338,795.5207494
339,918.6014728
340,819.8710483
341,813.202468
342,1129.039111
343,758.2786578
344,821.8412885
345,817.6713417
346,783.7488413
347,1424.909837
348,885.2336486
349,926.0417322
350,1593.117472
351,1298.866614
352,738.3555655
353,1247.171428
354,900.0256643
355,734.4514003
356,817.5077196
357,740.4681303
358,1082.768253
359,858.9246455
360,698.9126436
361,1171.268709
362,1019.467299
363,764.1275823
364,796.5753125
365,758.8729478
366,729.4722535
367,1370.253503
368,912.0400671
369,1209.90147
370,735.2111381
371,714.347513
372,962.6316331
373,721.7584925
374,810.9057435
375,736.9647494
376,850.0894392
377,1203.479189
378,703.3882024
379,1278.718544
380,743.5292307
381,1148.963837
382,865.6664444
383,749.0353279
384,1215.588386
385,802.0778393
386,839.2769089
387,1242.43751
388,770.7679112
389,885.0525352
390,832.9744847
391,778.9314567
392,1273.398523
393,729.8355742
394,719.0511687
395,716.8505544
396,740.5772408
397,1404.647092
398,788.3352737
399,851.9575358
400,1621.355942
401,1366.975054
402,860.34112
403,1410.812319
404,934.6300971
405,904.1195393
406,955.6584871
407,871.754417
408,1217.992899
409,880.7987406
410,814.6133692
411,1329.439691
412,1236.715098
413,919.8567258
414,854.6343883
415,903.5026522
416,843.0192637
417,1462.110128
418,970.5947423
419,1294.47832
420,869.7311309
421,857.0248769
422,1103.632549
423,842.1483199
424,866.9945811
425,849.7740735
426,929.2946399
427,1337.754332
428,964.5447863
429,1336.97263
430,919.3199211
431,1303.779032
432,965.3773227
433,813.6178523
434,1366.321586
435,889.275084
436,936.9776023
437,1409.060461
438,836.8385989
439,938.1480322
440,892.5715917
441,869.4953744
442,1424.994515
443,902.8025177
444,746.4495024
445,865.5333118
446,915.4517882
447,1484.245932
448,934.096213
449,973.4883829
450,1669.512838
451,1525.286151
452,938.8629824
453,1624.505928
454,990.4177467
455,963.2516903
456,960.2012201
457,933.3127784
458,1241.578227
459,883.932629
460,899.4779941
461,1378.419667
462,1322.089641
463,1028.601894
464,1027.637523
465,1012.234963
466,926.4290335
467,1550.893433
468,1098.565527
469,1391.481318
470,999.4187477
471,969.8876526
472,1225.000467
473,948.7811842
474,903.3712134
475,1019.035591
476,925.329476
477,1506.460204
478,1096.482401
479,1479.599412
480,1127.467348
481,1367.485866
482,990.228385
483,844.5688587
484,1448.427584
485,894.6661908
486,983.4943634
487,1510.801467
488,896.0163087
489,985.0607943
490,834.0717305
491,960.1063947
492,1539.082409
493,1039.820236
494,805.4564677
495,973.0367878
496,1174.609255
497,1548.424789
498,945.5460493
499,1000.750272
500,1750.392793
501,1292.335747
502,777.5235734
503,1306.425989
504,909.1254294
505,832.8859894
506,831.4603699
507,821.4989721
508,1116.636688
509,843.1301295
510,737.3796405
511,1253.032538
512,1073.259704
513,827.9970848
514,802.5529735
515,827.5877345
516,751.9725092
517,1436.609827
518,962.6171075
519,1244.488128
520,802.5903114
521,762.5508099
522,1043.201887
523,769.0439634
