run,design,loc,base_run,X1,X2,X3,dz_mm,center_gap_mm,sphere_pen_mm,lift_mm,surf_z_mm
64,1,14,6,576.5633,355.3432,725.3049,111.6399,2.0056,-1.7397,0.0000,640.7993
65,1,15,6,576.5583,-44.6568,725.3044,111.6394,2.0056,-1.7381,0.0000,640.7988
66,1,16,6,278.6628,355.3432,690.2729,76.6079,2.0056,-1.0443,0.0000,605.7672
67,1,17,6,-205.2068,-44.6568,569.9969,-43.6681,2.0056,1.6508,1.5666,483.9247
68,1,18,6,556.6869,-444.6568,696.0199,82.3549,2.0056,0.8049,0.0000,611.5143
69,1,19,6,260.5862,-344.6568,669.7750,56.1100,2.0056,1.1642,0.0000,585.2694
70,1,20,6,-110.8354,355.3432,601.9975,-11.6675,2.0056,1.6508,0.4950,516.9969
71,1,21,6,377.7089,-44.6568,704.0001,90.3351,2.0056,-1.3514,0.0000,619.4945
72,1,22,6,312.7224,555.3432,686.4424,72.7774,2.0056,-1.0792,0.0000,601.9368
73,1,23,6,-77.2524,-244.6568,599.4379,-14.2271,2.0056,1.6501,0.1049,514.8274
74,1,24,6,-77.3130,555.3432,599.3848,-14.2802,2.0056,1.6502,0.0705,514.8087
75,1,25,6,657.1662,655.3432,722.9742,109.3092,2.0056,-1.5653,0.0000,638.4685
76,1,26,6,565.5359,155.3432,725.3718,111.7068,2.0056,-1.6729,0.0000,640.8661
77,1,27,6,357.7544,755.3432,675.6093,61.9443,2.0056,-0.7090,0.0000,591.1036
78,1,28,6,270.4669,55.3432,691.5633,77.8983,2.0056,-1.1981,0.0000,607.0577
79,1,29,6,-306.7556,55.3432,537.0754,-76.5896,2.0056,1.6502,2.5664,450.0034
80,1,30,6,160.1126,-444.6568,645.6116,31.9466,2.0056,-0.3600,0.0000,561.1059
81,1,31,6,656.8107,-344.6568,722.9409,109.2759,2.0056,-1.5690,0.0000,638.4353
82,1,32,6,66.2616,-344.6568,626.1068,12.4418,2.0056,1.6503,3.3946,538.2066
83,1,33,6,66.6051,655.3432,626.2189,12.5539,2.0056,1.6503,3.4094,538.3038
84,1,34,6,291.0172,-144.6568,687.9254,74.2604,2.0056,-1.0005,0.0000,603.4198
85,1,35,6,171.6919,255.3432,675.8705,62.2055,2.0056,-0.7921,0.0000,591.3648
86,1,36,6,389.9592,455.3432,702.4287,88.7637,2.0056,-1.4117,0.0000,617.9230
87,1,37,6,-23.5537,255.3432,632.8642,19.1992,2.0056,0.6783,0.0000,548.3586
88,1,38,6,481.3422,-544.6568,694.1494,80.4844,2.0056,-1.5308,0.0000,609.6437
89,1,39,6,556.6876,755.3432,696.0364,82.3714,2.0056,0.8348,0.0000,611.5308
