Job ID, HIC Value
1,1277.6853542233175
2,792.2062454081968
3,934.1169764838376
4,794.4579491020129
5,814.6042398063656
6,1167.0314681807113
7,682.8459495306073
8,944.0035112019543
9,648.3225085969336
10,756.1872137409907
11,1320.1652875821596
12,791.4549329897129
13,870.9029305659441
14,818.5858835896502
15,818.7629510863222
16,1283.1627444286537
17,776.2119538382881
18,928.5696229092033
19,755.0264728680452
20,789.4047216464735
21,1221.1518086719145
22,749.9986702706685
23,872.3608339017145
24,799.2512139097053
25,843.7760581922082
26,1280.7534706484735
27,741.4502691404161
28,814.9531421671546
29,757.65325954583
30,790.4430139122086
31,1525.3266306678365
32,1175.3283554315194
33,1098.476519889721
34,1040.5435640899639
35,894.6196214295835
36,1284.9156889576307
37,729.742279840076
38,992.2469688609388
39,655.1405177441294
40,804.3410400088328
41,1513.866891617089
42,1166.9847827825658
43,959.9746010304881
44,1020.6903444026076
45,889.0073538669575
46,1513.132131429824
47,1178.4261854770048
48,1006.8104515544
49,991.535234083744
50,900.8180358796097
51,1670.397356934653
52,1235.2584320930646
53,1202.3998399875168
54,1183.7261250199676
55,863.5058101766452
56,1369.5754717852114
57,836.903044774058
58,1051.0144942798197
59,759.4299430613461
60,770.4454848981659
