Time,A1,A2,A3,A(mm/s2),A(in g)
0.0,-42036.234375,-76.78990173339844,147683.0,153549.07810247166,15.668273275762413
2.5025748827674607e-05,-66800.6469617851,-12.619835167408665,245883.79203595992,254796.32214701688,25.99962470887927
5.0051497655349214e-05,-91257.10562132427,44.35248992082989,344924.84162695496,356792.6676166984,36.407415062928415
7.507724648302382e-05,-114390.0020307793,92.03393228992617,441178.35171785305,455766.84725808573,46.506821148784255
0.00010010299531069843,-135090.07422123235,128.13677124338685,530426.8623384868,547359.1150811244,55.85297092664535
0.00012512874413837303,-151569.98991655133,145.8316322059751,606319.6827711376,624977.6322601691,63.773227781649915
0.00015015449296604765,-162105.14032831806,119.36948586794303,662366.9422502262,681914.992470276,69.58316249696695
0.00017518024179372224,-166348.64743825025,15.938140864575352,696800.9825991839,716382.2178901988,73.10022631532642
0.00020020599062139685,-165196.18572667384,-172.16368457427313,711976.690599084,730890.2909297692,74.5806419316091
0.00022523173944907147,-159939.92338764365,-424.38929215401953,711629.1287427647,729381.2282167928,74.42665594048907
0.00025025748827674606,-151756.73809636565,-703.9612731048715,699522.393089514,715794.7901119087,73.0402847052968
0.00027528323710442065,-141742.68766399485,-978.3934458573023,679427.7097211177,694056.1645122317,70.82205760328895
0.0003003089859320953,-131077.06488398986,-1226.6668847318692,655583.4737681893,668559.9395179595,68.22040199162853
0.0003253347347597699,-120945.0043291782,-1441.774547208196,632339.8684240223,643803.9157889982,65.69427712132637
0.0003503604835874445,-112187.29418224121,-1621.8339935235176,612870.2898168196,623055.8654419988,63.577129126734576
0.0003753862324151191,-105176.15654078001,-1763.5365260114672,598726.8428814067,607897.1675801908,62.03032322246844
0.0004004119812427937,-100014.01149134357,-1866.3381975154716,590492.4007898979,598905.3022836394,61.11278594731014
0.0004254377300704683,-96793.14184235099,-1934.7456507826914,588616.5098789885,596524.9795699118,60.86989587448079
0.00045046347889814294,-95627.36247405464,-1974.4496919832613,593530.1604950827,601187.6099213045,61.34567448176576
0.00047548922772581753,-96483.41336788205,-1995.627353230689,605210.3749016267,612856.1246101399,62.53633924593263
0.0005005149765534921,-99043.56211379051,-2013.790411374059,622784.6405417876,630614.2965734061,64.34839760953123
0.0005255407253811667,-102681.66871504464,-2041.1579715435614,644344.0705492955,652477.5648771443,66.57934335481065
